Nro,Nombre,Director,Niveles,Dependencia,Orientacion,Direccion,Region,Comuna,Telefono,Pagina
1,LICEO POLITECNICO ARICA,DAVID EDUARDO QUIROGA BOCCHIO,I Medio - IV Medio,Público,I Medio - IV Medio,18 DE SEPTIEMBRE 2221,De Arica Y Parinacota,Arica,241122,
4,LICEO OCTAVIO PALMA PEREZ,JUAN GUILLERMO JORDÁN ARIAS,I Medio - IV Medio,Público,I Medio - IV Medio,SANTA MARIA 1697,De Arica Y Parinacota,Arica,2206151,
5,JOVINA NARANJO FERNANDEZ,JUAN ALDO ZENTENO RAMÍREZ,1º Básico - IV Medio,Público,1º Básico - IV Medio,JUAN NOE 555,De Arica Y Parinacota,Arica,2253911,Sin información
7,L. POLI. ANTONIO VARAS DE LA BARRA,SERGIO ENRIQUE CASTILLO GAMBOA,I Medio - IV Medio,Público,I Medio - IV Medio,AVENIDA LOA POBL. CHILE 2200,De Arica Y Parinacota,Arica,2382085,
8,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,MAYCOLE FRANCOISE SALAMANCA WELSCH,Pre-Kinder - IV Medio,Público,Pre-Kinder - IV Medio,SAN MARCOS 611,De Arica Y Parinacota,Arica,2231593,
9,ESCUELA REPUBLICA DE ISRAEL,RUTH VIRGINIA DINI VALENZUELA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,MAGALLANES 1860,De Arica Y Parinacota,Arica,442207119,
10,ESCUELA REPUBLICA DE FRANCIA,DORIANNE MARÍA LYDA LLANOS SOTO,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,MARIA ILIA DEL PINO 728,De Arica Y Parinacota,Arica,442207106,Sin información
11,ESC. GRAL. PEDRO LAGOS MARCHANT,JEAN MAGGIE ANN FERNÁNDEZ LLERENA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,AVENIDA R. SOTOMAYOR 1639,De Arica Y Parinacota,Arica,287902,Sin información
12,ESCUELA GRAL JOSE MIGUEL CARRERA,FELIPE FABIÁN JERIA ACOSTA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,OSCAR BELMAR 230,De Arica Y Parinacota,Arica,2241245,Sin información
13,ESCUELA MANUEL RODRIGUEZ ERDOYZA,ROSA ELIANA LÓPEZ RODRÍGUEZ,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,BALMACEDA 2450,De Arica Y Parinacota,Arica,2222299,Sin información
14,ESCUELA ROMULO J. PENA MATURANA,GASTÓN ANDRÉS BERRÍOS ALCAYAGA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,LAS ACACIAS 2283,De Arica Y Parinacota,Arica,2241430,
16,ESCUELA REGIMIENTO RANCAGUA,DANIEL YAMANDU LORENZO MORENO ZÚÑIGA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,AVDA. SANTA MARIA 1550,De Arica Y Parinacota,Arica,44220711,
17,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,RICHARD CLAUDIO MORALES CAMPUSANO,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,"POBLACION EDUARDO FREI MONTALVA, PASAJE REAL ARMADA 1459",De Arica Y Parinacota,Arica,2207116,
18,ESC. COMTE. JUAN JOSE SAN MARTIN,ANGGIE ELIZABETH CASTILLO CARTER,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,ANGEL BRASS 2545,De Arica Y Parinacota,Arica,442207117,Sin información
19,ESC. HUMBERTO VALENZUELA GARCIA,CÉSAR ROY CASO CASO,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,CODPA 2300,De Arica Y Parinacota,Arica,442207141,
20,ESCUELA TUCAPEL,RAÚL ADRIÁN HUENTECURA CONDORI,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,TUCAPEL 2075 2075,De Arica Y Parinacota,Arica,2222463,
22,ESCUELA GABRIELA MISTRAL,ANA MARÍA MELGAR VÉLIZ,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,AVENIDA LA CONCEPCIÓN 3580,De Arica Y Parinacota,Arica,442207124,
25,COLEGIO CENTENARIO DE ARICA,JULIO ORLANDO VARGAS LOBOS,Pre-Kinder - IV Medio,Público,Pre-Kinder - IV Medio,EL ROBLE 4016 POBL.CARDENAL RAUL SILVA HENRIQUEZ 4016,De Arica Y Parinacota,Arica,211532,
26,ESCUELA REPUBLICA DE ARGENTINA,ALEJANDRA CARMEN ESPINOZA DÍAZ,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,ROMULO PEÑA 1275,De Arica Y Parinacota,Arica,442207137,Sin información
27,ESCUELA ESMERALDA,MARYSOL SOFÍA TERESA MONDACA RAITERI,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,JOSE JOAQUIN VALLEJOS 106,De Arica Y Parinacota,Arica,44220714,Sin información
28,ESCUELA RICARDO SILVA ARRIAGADA,LUIS HERNÁN BARNAO ASTUDILLO,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,ABRAHAM MEDINA 1760,De Arica Y Parinacota,Arica,241284,
29,ESCUELA AMERICA,JUAN MANUEL IGLESIAS FERNÁNDEZ,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,AVENIDA CAPITÁN AVALOS 2606,De Arica Y Parinacota,Arica,2222097,Sin información
31,ESCUELA DARIO SALAS DIAZ,ARTURO FRANCISCO YÉVENES ACUÑA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,"CAMINO FISCAL AZAPA KM.3,6 S/N",De Arica Y Parinacota,Arica,224642,Sin información
32,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,RUBÉN DARÍO ARREDONDO DÍAZ,Pre-Kinder - IV Medio,Público,Pre-Kinder - IV Medio,KM. 12 SAN MIGUEL - AZAPA S/N,De Arica Y Parinacota,Arica,2223294,
33,ESCUELA CARLOS CONDELL DE LA HAZA,NICOLÁS CRESCENCIO MONTECINOS GONZÁLEZ,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,"KM 18, VALLE DE LLUTA S/N",De Arica Y Parinacota,Arica,206100,
35,ESCUELA GRAL. MANUEL BAQUEDANO,MARIETTA JUANA MOROSO HENRÍQUEZ,Pre-Kinder - 6º Básico,Público,Pre-Kinder - 6º Básico,VALLE DE LLUTA KM. 27 S/N,De Arica Y Parinacota,Arica,2321080,
36,ESCUELA IGNACIO CARRERA PINTO,LUCY DEL CARMEN SALINAS CENTELLAS,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,EL PEDREGAL POBLACION NUEVA ESPERANZA. 3680,De Arica Y Parinacota,Arica,2221999,
38,ESCUELA ESPAÑA,MARÍA ANGÉLICA SALINAS CAMBERES,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,KILOMETRO 28 VALLE DE AZAPA S/N,De Arica Y Parinacota,Arica,2382087,Sin información
39,ESCUELA PAMPA ALGODONAL,ELCIRA DE LOURDES ZAVALA FUENTES,Kinder - 6º Básico,Público,Kinder - 6º Básico,PAMPA ALGODONAL S/N KM. 45 S/N,De Arica Y Parinacota,Arica,321080,
41,ESCUELA VALLE DE CHACA,HUGO AVELINO CERDA MEDINA,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,PANAMERICANA SUR KM. 50 S/N,De Arica Y Parinacota,Arica,206100,
42,ESCUELA MOLINOS LLUTA,IVÁN PATRICIO ARANCIBIA MUÑOZ,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,RUTA CH 11 KILOMETRO 55 S/N,De Arica Y Parinacota,Arica,2593660,Sin información
45,COLEGIO ITALIANO SANTA ANA,ADELA GINETTE ESPINOZA ZAPATEL,Pre-Kinder - IV Medio,Particular subvencionado,Pre-Kinder - IV Medio,AVDA 21 DE MAYO 920,De Arica Y Parinacota,Arica,2224492,
50,COLEGIO ADVENTISTA DE ARICA,ROXANA DE LOURDES CONTRERAS MORALES,1º Básico - IV Medio,Particular subvencionado,1º Básico - IV Medio,AIDA 5501 KM. 2½ VALLE DE AZAPA S/N,De Arica Y Parinacota,Arica,2470719,
52,LICEO BICENTENARIO DOMINGO SANTA MARIA,MERCEDES DEL CARMEN CORRALES SALAS,Pre-Kinder - IV Medio,Particular subvencionado,Pre-Kinder - IV Medio,SANTA MARIA 2189,De Arica Y Parinacota,Arica,2587710,
56,COLEGIO SAN MARCOS DE ARICA,LUIS HERNÁN SANTOS VERA,Kinder - IV Medio,Particular subvencionado,Kinder - IV Medio,AVENIDA SANTA MARIA 2140 2140,De Arica Y Parinacota,Arica,2572311,
60,COLEGIO ALEMAN DE ARICA,EDWIN HERIBERTO BELLO MIRANDA,Pre-Kinder - IV Medio,Particular subvencionado,Pre-Kinder - IV Medio,AVENIDA SENADOR HUMBERTO PALZA 3727,De Arica Y Parinacota,Arica,2242466,
67,ABRAHAM LINCOLN SCHOOL,EDUARDO PATRICIO DÍAZ SOTO,Kinder - IV Medio,Particular subvencionado,Kinder - IV Medio,SAN MARTIN 471 S/N,De Arica Y Parinacota,Arica,2251595,
70,ESCUELA VALLE DE ESQUINA,JHOEL ANTONIO CÁCERES ROMERO,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,PUEBLO DE ESQUIÑA S/N S/N,De Arica Y Parinacota,Camarones,2382701,Sin información
72,LICEO VALLE DE CODPA,GIULLIA ANTONIETA OLIVERA LEÓN,1º Básico - IV Medio,Público,1º Básico - IV Medio,"CALLE 7 DE JUNIO S/N, CODPA S/N",De Arica Y Parinacota,Camarones,2222684,
73,ESCUELA VALLE DE COBIJA,LUIS DANIEL MILANÉS MONDACA,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,CALLE 18 SEPTIEMBRE S/N PUEBLO DE COBIJA 634,De Arica Y Parinacota,Camarones,2208600,Sin información
74,ESCUELA VALLE DE CAMARONES,ALEX IVÁN SOTO ESPINOZA,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,POBLADO DE CAMARONES A 132 KMS APROX. AL SURESTE DE LA CIUDAD DE ARICA. S/N,De Arica Y Parinacota,Camarones,244021,Sin información
75,ESCUELA VALLE DE GUANACAGUA,LORELIA MERCEDES ZENIS OYARZO,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,CAMINO RURAL S/N S/N,De Arica Y Parinacota,Camarones,87842641,Sin información
76,ESCUELA VALLE DE CUYA,MARCELA DEL CARMEN ROJAS CASTRO,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,AVANZADA DE CUYA S/N S/N,De Arica Y Parinacota,Camarones,2251442,Sin información
78,LICEO GRANADEROS,VÍCTOR HUGO PAZ TELLO,Pre-Kinder - IV Medio,Público,Pre-Kinder - IV Medio,TTE DEL CAMPO 242,De Arica Y Parinacota,Putre,2572536,
79,ESCUELA EL MARQUEZ,OLGA NANCY ANCOMA HUMIRE,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,O`HIGGINS N° 40 40,De Arica Y Parinacota,Putre,89641445,Sin información
81,ESCUELA PAYACHATAS,DANIEL JUAN VILLEGAS HERRERA,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,ARTURO PRAT Nº4 PUEBLO DE CAQUENA 4,De Arica Y Parinacota,Putre,2572562,Sin información
82,ESCUELA SAN FRANCISCO DE ASIS,LUIS EMILIANO RAMOS ÁLVAREZ,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,SAN FRANCISCO S/N FRENTE A LA PLAZA PÚBLICA S/N,De Arica Y Parinacota,Putre,89641445,
83,ESCUELA COTA COTANI,MARÍA ALICIA MUGUEÑO MUÑOZ,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,PARINACOTA S/N S/N,De Arica Y Parinacota,Putre,585833,
84,ESCUELA LOS ALAMOS,ÁLVARO IVÁN CAÑIPA PACHA,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,MURMUNTANI S/N S/N,De Arica Y Parinacota,Putre,252803,Sin información
86,ESCUELA SAN SANTIAGO DE BELEN,MARIO STEWARD GUTIÉRREZ CAÑIPA,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,EL PERAL 60,De Arica Y Parinacota,Putre,264061,Sin información
87,ESCUELA ANCOLACANE,MANUEL PEDRO RÍOS BENAVENTE,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,LOCALIDAD DE ANCOLACANE S/N,De Arica Y Parinacota,General Lagos,962161020,
88,ESCUELA ALCERRECA,CARMEN CONDORE CALLE,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,LOCALIDAD ALCERRECA S/N,De Arica Y Parinacota,General Lagos,2254473,
89,ESCUELA HUMAPALCA,CARLOS EFRAÍN RUIZ MONROY,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,LOCALIDAD DE HUMAPALCA S/N,De Arica Y Parinacota,General Lagos,,
90,ESCUELA INTERNADO VISVIRI,LUIS MARCELO MERINO JARA,1º Básico - 8º Básico,Público,1º Básico - 8º Básico,VISVIRI S/N,De Arica Y Parinacota,General Lagos,210462,
91,ESCUELA COSAPILLA,BERNARDO SEGUNDO GONZÁLEZ CABALLERO,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,LOCALIDAD DE COSAPILLA S/N,De Arica Y Parinacota,General Lagos,2572440,
92,ESCUELA CHISLLUMA,LUIS ARTURO JOFRÉ QUINSACARA,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,LOCALIDAD DE CHISLLUMA S/N,De Arica Y Parinacota,General Lagos,2254832,Sin información
93,ESCUELA CHUJLLUTA,GIAN FRANCO RATTO HERRERA,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,"LOCALIDAD DE CHUJLLUTA RUTA A123 1ER PUEBLO COMUNA DE GENERAL LAGOS, (CAMINO A VISVIRI) S/N",De Arica Y Parinacota,General Lagos,2233717,
94,ESCUELA GUACOYO,HUGO REINALDO LLERENA PÉREZ,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,LOCALIDAD DE GUACOYO S/N,De Arica Y Parinacota,General Lagos,2233711,
95,ESCUELA COLPITAS,HÉCTOR CHOQUE SANTOS,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,LOCALIDAD DE COLPITAS S/N,De Arica Y Parinacota,General Lagos,2247133,
97,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,ISBEL NOEMÍ CIFUENTES CORTÉS,I Medio - IV Medio,Público,I Medio - IV Medio,ANIBAL PINTO 1255,De Tarapacá,Iquique,544812,
106,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,ROXANA INÉS OJEDA ARAVENA,7º Básico - IV Medio,Particular subvencionado,7º Básico - IV Medio,AV. ARTURO PRAT S/N,De Tarapacá,Iquique,2546860,
107,LICEO LIBERT. GRAL.BERNARDO O´HIGGINS,REYNALDO HENRÍQUEZ CONEJEROS,7º Básico - IV Medio,Público,7º Básico - IV Medio,BAQUEDANO 1200,De Tarapacá,Iquique,2544813,
108,LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN,INGRID SOLEDAD COFRÉ CASTRO,I Medio - IV Medio,Público,I Medio - IV Medio,AV. ARTURO PRAT S/N S/N,De Tarapacá,Iquique,2544823,
109,COLEGIO DEPORTIVO TEC. PROF. ELENA DUVAUCHELLE CABEZON,CRISTIAN EDUARDO BUGUEÑO MARAMBIO,1º Básico - IV Medio,Público,1º Básico - IV Medio,ANIBAL PINTO 955,De Tarapacá,Iquique,544797,
110,LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.,JAIME JOSÉ CORREA CONTRERAS,Pre-Kinder - IV Medio,Público,Pre-Kinder - IV Medio,ZEGERS 818,De Tarapacá,Iquique,2241341,Sin información
111,ESCUELA GABRIELA MISTRAL,MARÍA AMPARO DEL CARMEN LOBOS ESTAY,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,LIBERTAD 1525,De Tarapacá,Iquique,2544750,Sin información
112,ESCUELA EDUARDO LLANOS,HUGO MANUEL ALEGRÍA MIRANDA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,GENARO GALLO 527 527,De Tarapacá,Iquique,2544844,Sin información
113,ESCUELA ALMIRANTE PATRICIO LYNCH,MARÍA VERÓNICA ORMAZÁBAL VERA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,GENARO GALLO 2408,De Tarapacá,Iquique,2544849,
114,ESCUELA PLACIDO VILLARROEL,ANICIA MALVINA GONZÁLEZ GUTIÉRREZ,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,ARTURO FERNANDEZ 1260,De Tarapacá,Iquique,2544754,Sin información
116,COLEGIO REPUBLICA DE CROACIA,JORGE EDUARDO ARACENA CERDA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,AV.SALVADOR ALLENDE 1890,De Tarapacá,Iquique,544758,
117,ESCUELA PAULA JARAQUEMADA ALQUIZAR,MARJORIE MARCIA CORTEZ ROJAS,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,ORELLA 960,De Tarapacá,Iquique,2544764,Sin información
119,ESCUELA CENTENARIO,MARTA VICTORIA RUZ PÉREZ,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,SERRANO 998 998,De Tarapacá,Iquique,2544768,
122,ESCUELA THILDA PORTILLO OLIVARES,JULIA ELIZABETH DÁVILA OLIVARES,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,LAS MAGNOLIAS 1834,De Tarapacá,Iquique,2544773,
123,COLEGIO ESPANA,ROSA ELIZABETH CÓRDOVA ALACHE,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,EL MONTE S/N S/N,De Tarapacá,Iquique,2544856,
124,LICEO LUIS CRUZ MARTINEZ,EDUARDO MANFREDO GONZÁLEZ ESTAY,I Medio - IV Medio,Público,I Medio - IV Medio,ANKER NIELSEN 2250,De Tarapacá,Iquique,2544829,
125,ESCUELA PROFESOR MANUEL CASTRO RAMOS,ELIZABETH PAULINA BARRERA MALUENDA,Pre-Kinder - IV Medio,Público,Pre-Kinder - IV Medio,CASTRO RAMOS 2188 2188,De Tarapacá,Iquique,2544788,
126,COLEGIO REPUBLICA DE ITALIA,PABLO ORNALDO VALENZUELA HUANCA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,RANCAGUA 2958,De Tarapacá,Iquique,2241491,
127,LICEO MARIA AUXILIADORA,WLADIMIR ALEXIS LUENGO BENÍTEZ,1º Básico - IV Medio,Particular subvencionado,1º Básico - IV Medio,JOSE JOAQUIN PEREZ 752,De Tarapacá,Iquique,2412905,
129,LICEO SUPERIOR GABRIELA MISTRAL,CAROLINA ISABEL GAJARDO GARRIDO,Pre-Kinder - IV Medio,Particular subvencionado,Pre-Kinder - IV Medio,PATRICIO LYNCH 1398,De Tarapacá,Iquique,2424432,
130,COLEGIO NORTH COLLEGE,SANDRA AMARA URQUIOLA ROJO,1º Básico - IV Medio,Particular subvencionado,1º Básico - IV Medio,MANUEL RODRIGUEZ 1180,De Tarapacá,Iquique,2426569,
131,COLEGIO ESCASCE,SANDRA MARA ESPEJO ÁLVAREZ,1º Básico - IV Medio,Particular subvencionado,1º Básico - IV Medio,CESPEDES Y GONZALEZ 787,De Tarapacá,Iquique,2412974,
132,COLEGIO BAJO MOLLE,TERESA ELIZABETH CORTÉS SOLÍS,Kinder - IV Medio,Particular subvencionado,Kinder - IV Medio,KM. 10 MANZANA L LOTE A Y B BAJO MOLLE S/N,De Tarapacá,Iquique,2247140,
133,COLEGIO ADVENTISTA DE IQUIQUE,DAVID ARMANDO GÓMEZ TAPIA,Pre-Kinder - IV Medio,Particular subvencionado,Pre-Kinder - IV Medio,LIBERTAD 750,De Tarapacá,Iquique,2425565,
134,LICEO ATENEA,JORGE ANTONIO ÁLVAREZ REJAS,1º Básico - IV Medio,Particular subvencionado,1º Básico - IV Medio,PEDRO LAGOS 951,De Tarapacá,Iquique,413757,
144,COLEGIO IQUIQUE YOUNG SCHOOL,NELSON PATRICIO MONTES PALACIOS,1º Básico - IV Medio,Particular subvencionado,1º Básico - IV Medio,MANUEL RODRIGUEZ 1311,De Tarapacá,Iquique,2570324,
154,ESCUELA BASICA FRONTERIZA,MIGUEL ANGEL MAMANI AMARO,1º Básico - 8º Básico,Público,1º Básico - 8º Básico,"VIGUERAS ,PUEBLO DE TARAPACÁ HUARA - TAMARUGAL 27",De Tarapacá,Huara,2463221,Sin información
156,ESCUELA PISAGUA,ALEXIS JONATHAN DIEGO TORRES ARAYA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,TORIBIO ROBINET S/N S/N,De Tarapacá,Huara,2731512,Sin información
158,ESCUELA CHIAPA,DAYANE ESTEFANY VILCA LARAMA,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,ARIQUILDA S/N S/N,De Tarapacá,Huara,463221,
159,ESCUELA JAINA,YOHANNA MARCELA CANDIA VEGA,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,GUACOLDA S/Nº - LOCALIDAD DE JAIÑA - COMUNA DE HUARA S/N,De Tarapacá,Huara,992094561,Sin información
160,ESCUELA PACHICA,ALEJANDRO EDUARDO VELOZ MUÑOZ,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,AVENIDA COMERCIO S/N PUEBLO DE PACHICA S/N,De Tarapacá,Huara,2463220,Sin información
161,LICEO DE HUARA,CAROL BENONI BRANTES NÚÑEZ,Pre-Kinder - IV Medio,Público,Pre-Kinder - IV Medio,AV. PRAT S/N S/N,De Tarapacá,Huara,2463221,
162,ESCUELA SIBAYA,MARTA WILDA ARACENA CASTILLO,1º Básico - 8º Básico,Público,1º Básico - 8º Básico,BALMACEDA S/N PUEBLO DE SIBAYA S/N,De Tarapacá,Huara,2361728,Sin información
165,ESCUELA CHUSMIZA,SANDRA DEL CARMEN BALTAZAR CHOQUE,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,11 DE SEPTIEMBRE S/N S/N,De Tarapacá,Huara,2361748,Sin información
167,ESCUELA CAMINA,RENÉ FELIPE ARAYA COCA,Kinder - 8º Básico,Público,Kinder - 8º Básico,ELEUTERIO RAMIREZ S/N EN ESQUINA S/N,De Tarapacá,Camiña,751602,Sin información
168,ESCUELA CUISAMA,SILVANA PAMELA FLORES CALLE,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,CAMINO PUBLICO 217 S/N,De Tarapacá,Camiña,99015204,Sin información
169,ESCUELA QUISTAGAMA,EGARDO AUGUSTO RIVERA ACHA,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,PUEBLO QUISTAGAMA S/N,De Tarapacá,Camiña,751602,Sin información
170,ESCUELA NAMA,MARILYN DEL CARMEN MAMANI CALLE,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,AVENIDA TRINIDAD S/N,De Tarapacá,Camiña,751602,Sin información
171,ESCUELA APAMILCA,HERMAN EDUARDO ARAYA ARAYA,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,ESMERALDA S/N S/N,De Tarapacá,Camiña,751602,Sin información
172,ESCUELA CHAPIQUILTA,NERY CARMEN FLORES PLATERO,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,CHAPIQUILTA S/N,De Tarapacá,Camiña,751602,Sin información
173,ESCUELA MOQUELLA,BEATRIZ VICTORIA TAPIA LOAYZA,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,PUEBLO DE MOQUELLA S/N,De Tarapacá,Camiña,751602,Sin información
174,ESCUELA FRANCIA,EDINSON JAKSON MERCADO QUISPE,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,CAMINO PUBLICO S/N S/N,De Tarapacá,Camiña,751602,Sin información
175,ESCUELA YALA YALA,MARICEL MARTA COÑAJAGUA GARCÍA,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,LOS OLIVOS S/N S/N,De Tarapacá,Camiña,751602,Sin información
177,ESCUELA BASICA CARIQUIMA,FREDDY TENORIO REDONDO,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,PUERTO VARAS 124,De Tarapacá,Colchane,88115945,Sin información
178,LICEO TECNICO PROFESIONAL COLCHANE,JULIO DANIEL LINARES CUTIPA,Pre-Kinder - IV Medio,Público,Pre-Kinder - IV Medio,AVENIDA TENIENTE GONZALEZ S/N S/N,De Tarapacá,Colchane,2361439,Sin información
179,ESCUELA BASICA MAUQUE,,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,MAUQUE S/N S/N,De Tarapacá,Colchane,75575773,Sin información
185,ESCUELA BASICA PISIGA-CHOQUE,ADELIA GLORIA GARCÍA CHOQUE,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,PISIGA CHOQUE S/N S/N,De Tarapacá,Colchane,69193799,Sin información
186,ESCUELA BASICA ENQUELGA,RUBÉN EMILIO TEJADA HINOJOSA,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,ENQUELGA S/N S/N,De Tarapacá,Colchane,75575773,Sin información
187,ESCUELA VERTIENTE DEL SABER,ISMAEL ALEJANDRO ORÓSTICA TORO,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,BLANCO ENCALADA 567,De Tarapacá,Pica,2741313,
188,ESC. MATILLA DE NUEVA EXTREMADURA,JUANA ALIDA CARROZA LOAYZA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,BAQUEDANO S/N S/N,De Tarapacá,Pica,741068,
191,LIC. ALCDE.SERGIO GONZALEZ GUTIERREZ,ALEX RENÉ JARA MELLA,I Medio - IV Medio,Público,I Medio - IV Medio,CALLE ARICA 454,De Tarapacá,Pozo Almonte,752867,
192,ESCUELA BASICA MAMINA,EDUARDO ANTONIO BRAVO CABRERA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,AVENIDA ESPANA 698,De Tarapacá,Pozo Almonte,59928749,
193,ESCUELA BASICA POZO ALMONTE,WUILICES OWER ROJAS BÓRQUEZ,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,CASCADA 86,De Tarapacá,Pozo Almonte,2751550,
195,ESCUELA BASICA LA TIRANA,CHELY FABIOLA SAMIT MIRANDA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,ALGARROBO S/Nº S/N,De Tarapacá,Pozo Almonte,,Sin información
196,ESCUELA BASICA HUATACONDO,ELIZABETH DE LAS MERCEDES LÓPEZ ORÓSTICA,1º Básico - 8º Básico,Público,1º Básico - 8º Básico,OBISPADO S/N S/N,De Tarapacá,Pozo Almonte,2327240,Sin información
198,ESCUELA BASICA LA HUAYCA,MARÍA JOSÉ BENÍTEZ FERNÁNDEZ,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,AVDA.B.O`HIGGINS 444,De Tarapacá,Pozo Almonte,2752569,
199,LICEO DOMINGO LATRILLE LASTAUNOU,DANNY WINSTON GRIPE HENRÍQUEZ,7º Básico - IV Medio,Público,7º Básico - IV Medio,CARRERA 1305,De Antofagasta,Tocopilla,2426420,
200,LICEO POLITECNICO DIEGO PORTALES P.,YERKO ALEJANDRO ECHEVERRÍA ARANZÁEZ,I Medio - IV Medio,Público,I Medio - IV Medio,AVENIDA TENIENTE MERINO 1298,De Antofagasta,Tocopilla,2426422,
201,ESCUELA CARLOS CONDELL DE LA HAZA,MARÍA DEL CARMEN ROJAS PEÑA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,BAQUEDANO ESQ. A. PRAT S/N S/N,De Antofagasta,Tocopilla,426425,
