Nro,Nombre,Director,Niveles,Dependencia,Orientacion,Direccion,Region,Comuna,Telefono,Pagina
9620,ESCUELA BASICA JUAN DE DIOS ALDEA,CÉSAR MANUEL GUTIÉRREZ PÁEZ,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,MIGUEL ÁNGEL 03471,Metropolitana De Santiago,La Pintana,25421635,
9625,ESCUELA BASICA VILLA LA CULTURA,TANIA ANGÉLICA MONTENEGRO JIMÉNEZ,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,GALVARINO 10252,Metropolitana De Santiago,San Ramón,5418837,Sin información
9629,ESCUELA BASICA ALIVEN,MÓNICA DEL CARMEN AZÓCAR GUZMÁN,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,ALMIRANTE LATORRE 9835,Metropolitana De Santiago,San Ramón,4058811,
9634,COLEGIO MARISTA MARCELINO CHAMPAGNAT,CRISTIAN RAÚL INFANTE GAETE,Pre-Kinder - IV Medio,Particular subvencionado,Pre-Kinder - IV Medio,SEXTO DE LINEA 13540,Metropolitana De Santiago,La Pintana,78551237,
9636,CHILEAN EAGLES COLLEGE-LA PINTANA,KARINA ALICIA RAVANAL NAVARRETE,Pre-Kinder - 8º Básico,Particular subvencionado,Pre-Kinder - 8º Básico,VENANCIA LEIVA 1741,Metropolitana De Santiago,La Pintana,25412364,
9637,COLEGIO CHRISTIAN GARDEN SCHOOL,LAURA GUILLERMINA BENAVIDES JÁUREGUI,Pre-Kinder - IV Medio,Particular subvencionado,Pre-Kinder - IV Medio,SOFIA EASTMAN DE HUNNEUS 10279,Metropolitana De Santiago,La Granja,25411639,
9638,ESCUELA BÁSICA PADRE ESTEBAN GUMUCIO VIVES,TAMARA ALEJANDRA ECHIBURU LÓPEZ,Kinder - IV Medio,Particular subvencionado,Kinder - IV Medio,AV.PADRE ESTEBAN GUMUCIO 0381,Metropolitana De Santiago,La Granja,23702711,
9639,ESCUELA PARTICULAR EMA DIAZ SIERRA,GLORIA DEL CARMEN NEIRA RAMOS,Pre-Kinder - 8º Básico,Particular subvencionado,Pre-Kinder - 8º Básico,JUAN LUIS SANFUENTES 7910,Metropolitana De Santiago,San Ramón,5115971,Sin información
9642,ESCUELA PARTICULAR TTE.DAGOBERTO GODOY,SERGIO RAMÓN GALLARDO PIZARRO,Pre-Kinder - 8º Básico,Particular subvencionado,Pre-Kinder - 8º Básico,SARGENTO ALDEA 093,Metropolitana De Santiago,La Granja,32567235,
9646,COLEGIO POLIVALENTE FRANCISCO RAMIREZ,BERTA DEL PILAR DE LO VÁSQUEZ UBEDA CASTRO,I Medio - IV Medio,Particular subvencionado,I Medio - IV Medio,SANTA ANA 1901 S/N,Metropolitana De Santiago,San Ramón,5262041,
9647,LICEO BICENTENARIO SAN FRANCISCO,WALTER MAXIMILIANO GÓMEZ PÉREZ,Pre-Kinder - IV Medio,Particular subvencionado,Pre-Kinder - IV Medio,SANTA ROSA 9093,Metropolitana De Santiago,San Ramón,5161856,
9648,ESCUELA PARTICULAR FRANCISCO DE MIRANDA,XIMENA DEL PILAR REBOLLEDO ROSALES,Pre-Kinder - 8º Básico,Particular subvencionado,Pre-Kinder - 8º Básico,AMERICA DEL NORTE 2086,Metropolitana De Santiago,San Ramón,995900259,
9653,ESCUELA BASICA PRESBITERIANA EL SALVADOR,SUSANA HILDA NAVARRO ROJAS,Pre-Kinder - 8º Básico,Particular subvencionado,Pre-Kinder - 8º Básico,CARDENAL RAUL SILVA HENRIQUEZ 8283 8283,Metropolitana De Santiago,La Granja,39523528,Sin información
9654,ESCUELA PARTICULAR FRANCISCO RAMIREZ,MARÍA CRISTINA BEATRIZ BARAHONA MATUS,Pre-Kinder - 8º Básico,Particular subvencionado,Pre-Kinder - 8º Básico,AMERICA DEL SUR 2041,Metropolitana De Santiago,San Ramón,264690911,Sin información
9655,ESCUELA PARTICULAR CLAUDIO MATTE,JORGE ROBERTO ARRIAGADA LARA,Pre-Kinder - IV Medio,Particular subvencionado,Pre-Kinder - IV Medio,AVDA. PADRE ESTEBAN GUMUCIO VIVES 0140,Metropolitana De Santiago,La Granja,7075889,
9656,ESCUELA PARTICULAR PDTE.JOSE J.PRIETO,MARCIA PATRICIA POBLETE GONZÁLEZ,Pre-Kinder - IV Medio,Particular subvencionado,Pre-Kinder - IV Medio,CALLE REY DON FELIPE 1990,Metropolitana De Santiago,La Pintana,27075897,
9659,ESCUELA COLEGIO ALBERTO BLEST GANA,RICARDO SAÚL ROMÁN TORO,Pre-Kinder - IV Medio,Particular subvencionado,Pre-Kinder - IV Medio,AV. MIRADOR 1674,Metropolitana De Santiago,San Ramón,86276095,
9660,ESCUELA PARTIC PARROQUIAL DOMINGO SAVIO,CAROLINA DE LOURDES ALFARO PALMA,Pre-Kinder - IV Medio,Particular subvencionado,Pre-Kinder - IV Medio,BOLIVIA 1574 S/N,Metropolitana De Santiago,San Ramón,5584699,
9663,ESCUELA PARTICULAR ELSA RAMIREZ,ANDRÉS ENRIQUE VARGAS NAVARRETE,1º Básico - 8º Básico,Particular subvencionado,1º Básico - 8º Básico,AMÉRICA DEL SUR 2062,Metropolitana De Santiago,San Ramón,5268412,Sin información
9664,COLEGIO PARTICULAR PUERTO NAVARINO,ROSA ELVIRA IBARRA VENEGAS,Pre-Kinder - 8º Básico,Particular subvencionado,Pre-Kinder - 8º Básico,PROFESOR JULIO CHAVEZ 12751,Metropolitana De Santiago,La Pintana,32564049,Sin información
9665,CENTRO EDUCACIONAL SANTA ROSA DEL SUR,MARCELA ELISA LARA FIGUEROA,Pre-Kinder - IV Medio,Particular subvencionado,Pre-Kinder - IV Medio,AV SANTA ROSA 12910 12910,Metropolitana De Santiago,La Pintana,5421055,
9666,ESC. PART. CELESTIN FREINET,KARIN ANDREA LIRA FLORES,Pre-Kinder - II Medio,Particular subvencionado,Pre-Kinder - II Medio,VENANCIA LEIVA 1949 1949,Metropolitana De Santiago,La Pintana,25411040,Sin información
9668,ESCUELA BASICA OSCAR SALINAS,ISABEL MARGARITA SALINAS PINTO,Pre-Kinder - III Medio,Particular subvencionado,Pre-Kinder - III Medio,MIGUEL ANGEL 03261,Metropolitana De Santiago,La Pintana,25421310,Sin información
9669,COLEGIO NUESTRO MUNDO,ALAIN NAUL CARRIÓN ROSALES,Pre-Kinder - 8º Básico,Particular subvencionado,Pre-Kinder - 8º Básico,AMERICA CENTRAL 1731,Metropolitana De Santiago,San Ramón,5265607,
9673,ESCUELA PARTICULAR ARTURO MATTE LARRAIN,SUSANA RUTH MUÑOZ OVALLE,Pre-Kinder - IV Medio,Particular subvencionado,Pre-Kinder - IV Medio,ANIBAL ZANARTU 9567,Metropolitana De Santiago,San Ramón,27075893,
9674,ESCUELA BASICA ALAS DE AGUILA,ERIKA VERÓNICA BARRERA GALDAMES,Kinder - 8º Básico,Particular subvencionado,Kinder - 8º Básico,SANTA ROSA 6499,Metropolitana De Santiago,San Ramón,5269979,Sin información
9676,ESCUELA PARTICULAR SAN MARCELO,PAULA EMILIA GONZÁLEZ CARVALLO,Pre-Kinder - 8º Básico,Particular subvencionado,Pre-Kinder - 8º Básico,AVENIDA SANTA ROSA 10010,Metropolitana De Santiago,La Granja,32781473,
9680,COMPLEJO EDUC.STA.RITA DE CASIA-ANEXO 1,GINA MARCELA ALDERETE BERNAL,Pre-Kinder - 8º Básico,Particular subvencionado,Pre-Kinder - 8º Básico,BATALLON CHACABUCO 02971,Metropolitana De Santiago,La Pintana,98650354,
9684,COLEGIO SAN GREGORIO DE LA SALLE,ROXANA AMALIA RIVERA PINTO,Pre-Kinder - IV Medio,Particular subvencionado,Pre-Kinder - IV Medio,AVENIDA CARDENAL RAUL SILVA HENRIQUEZ (EX AVENIDA LA SERENA) 8240,Metropolitana De Santiago,La Granja,5251483,
9685,ESCUELA BASICA PARTIC ESTRELLA DE CHILE,ANA LORETO AGUILERA MUÑOZ,Pre-Kinder - 8º Básico,Particular subvencionado,Pre-Kinder - 8º Básico,ILLAPEL 7875,Metropolitana De Santiago,La Granja,25257882,
9686,LICEO TÉCNICO CLOTARIO BLEST RIFFO,NATALY GISSELLE ARANEDA LINERO,I Medio - IV Medio,Particular subvencionado,I Medio - IV Medio,CALLE CAREN 3250,Metropolitana De Santiago,Pedro Aguirre Cerda,98244347,
9687,LICEO CHRISTA MC AULIFFE,LUIS WILFREDO MIRANDA HENRÍQUEZ,I Medio - IV Medio,Público,I Medio - IV Medio,GRAN AVDA.J.M.CARRERA 9730,Metropolitana De Santiago,El Bosque,443049998,Sin información
9688,LICEO JUAN GOMEZ MILLAS,YAMILE DEL PILAR MURILLO OSORIO,I Medio - IV Medio,Público,I Medio - IV Medio,GRAN AVDA.J.M.CARRERA 9740,Metropolitana De Santiago,El Bosque,3049999,
9690,CENTRO DUC.CARDENAL JOSE MARIA CARO,FLAVIO IGNACIO ALLENDES QUIROZ,I Medio - IV Medio,Público,I Medio - IV Medio,CARDENAL CARO 03745,Metropolitana De Santiago,Lo Espejo,24856897,Sin información
9693,LICEO POLITECNICO CIENCIA Y TECNOLOGIA,RODRIGO GUILLERMO SOLÍS PAREDES,I Medio - IV Medio,Público,I Medio - IV Medio,AVENIDA GOYCOLEA 469,Metropolitana De Santiago,La Cisterna,25584253,
9694,INSTITUTO COMERCIAL PADRE ALBERTO HURTADO DE PEDRO AGUIRRE CERDA,ERNESTO RENÉ MORA MOLINA,7º Básico - IV Medio,Particular subvencionado,7º Básico - IV Medio,CLOTARIO BLEST 6055,Metropolitana De Santiago,Pedro Aguirre Cerda,25211085,
9695,LICEO POLIVALENTE EUGENIO PEREIRA SALAS,SOLANGE PAZ MORENO OLAVARRÍA,Pre-Kinder - IV Medio,Público,Pre-Kinder - IV Medio,COOPERACION 4581 POBLACIÓN LO VALLEDOR NORTE S/N,Metropolitana De Santiago,Pedro Aguirre Cerda,23965877,
9697,LICEO POLIVALENTE,MÓNICA DEL CARMEN VALENCIA CÉSPEDES,Pre-Kinder - IV Medio,Público,Pre-Kinder - IV Medio,INES DE SUAREZ 6970,Metropolitana De Santiago,Lo Espejo,24856905,Sin información
9698,ESCUELA BASICA AVIADORES,MARÍA GRACIELA DEL CARMEN MELO MOYA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,BAQUEDANO 9820,Metropolitana De Santiago,El Bosque,5482295,Sin información
9699,COLEGIO NACIONES UNIDAS,GABRIEL ANTONIO JIMÉNEZ GODOY,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,ISABEL LA CATOLICA 0960,Metropolitana De Santiago,La Cisterna,39129925,
9700,COLEGIO PALESTINO,SANDRA DEL ROSARIO CARRASCO ÁVILA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,AVDA EL PARRON 498,Metropolitana De Santiago,La Cisterna,5594396,
9701,LICEO POLIVALENTE OLOF PALME,JAIME OLATE RUZ,Pre-Kinder - IV Medio,Público,Pre-Kinder - IV Medio,JULIO COVARRUBIAS 9370 S/N,Metropolitana De Santiago,La Cisterna,5583521,Sin información
